genes,pvals,ctrlmean,eosmean,foldchange,pvalcorr,eosfrac,ctrlfrac,totalfrac,idx
SERPINA6,0.9413595168894675,27.645266389183003,27.664384840714288,-0.0009973701044520672,1.0,1.0,1.0,1.0,0.0
SOD3,1.0,22.29458142857143,23.40996,-0.07042935544497193,1.0,0.07142857142857142,0.04666666666666667,0.04878048780487805,0.024761904761904756
ITGA2B,0.32104367555303454,20.906818750000003,20.08257,0.058029648230925455,0.8962469275855548,0.21428571428571427,0.26666666666666666,0.2621951219512195,0.05238095238095239
LPA,0.019704433497536946,20.671449573572385,23.312330000000003,-0.17345364439749653,0.6431459947516868,0.14285714285714285,0.18,0.17682926829268292,0.037142857142857144
CD14,0.11985282830246496,21.82049456322096,22.225760597419562,-0.026548990165914402,0.7915609569470291,0.9285714285714286,0.8666666666666667,0.8719512195121951,0.06190476190476191
CFH,0.5861984822093665,29.658070389277565,29.594938411889594,0.00307428186372728,0.9756929798946605,1.0,1.0,1.0,0.0
SERPINF2,0.4782433141491833,28.717011056015146,28.579199126175304,0.006940108971712934,0.9756929798946605,1.0,1.0,1.0,0.0
ENO2,0.34848484848484845,21.655191379310345,21.29625,0.02411350989901204,0.9192316869482223,0.2857142857142857,0.19333333333333333,0.20121951219512196,0.09238095238095237
SPARC,0.3935514461830251,20.030320588235295,19.6584125,0.027038689229754654,0.9756929798946605,0.2857142857142857,0.22666666666666666,0.23170731707317074,0.05904761904761904
C1S,0.16729200687643386,25.350804418783394,25.135437520496485,0.012308725265483326,0.8160489709364906,0.9285714285714286,0.9933333333333333,0.9878048780487805,0.06476190476190469
C4A,0.2523695756209423,26.41488972253998,26.630395554493475,-0.011722470865757005,0.858974358974359,1.0,1.0,1.0,0.0
C4B,0.47097097471214333,30.94106772256362,31.041513412142855,-0.004675914504914917,0.9756929798946605,1.0,1.0,1.0,0.0
SAA1,2.822342484328126e-06,22.202865694161357,26.86531228909091,-0.2749987130781703,0.00047274236612496114,0.7857142857142857,0.26666666666666666,0.31097560975609756,0.519047619047619
SAA2,0.3706293706293706,22.619873333333334,23.593062259,-0.06077183462670656,0.9529027700872409,0.7142857142857143,0.02,0.07926829268292683,0.6942857142857143
SPP1,0.7912087912087913,21.274054166666662,21.374125,-0.006770369228705964,0.996282527881041,0.14285714285714285,0.08,0.08536585365853659,0.06285714285714285
PTPRF,0.6278635410710883,21.61330235294118,21.2487425,0.02454205706088372,0.9756929798946605,0.2857142857142857,0.34,0.3353658536585366,0.054285714285714326
C7,0.11818421756659656,27.577822722516345,27.278991983571434,0.015718225421029523,0.7915609569470291,1.0,1.0,1.0,0.0
CLU,0.20472807043926577,27.825179055920586,27.56063126903245,0.013782038413747134,0.8160489709364906,1.0,1.0,1.0,0.0
MBL2,0.9594594594594595,21.735481724571425,21.949966666666665,-0.014166678385250214,1.0,0.21428571428571427,0.23333333333333334,0.23170731707317074,0.019047619047619063
CETP,0.8983895160393469,20.93710364705882,20.916945,0.0013897237343462876,1.0,0.5714285714285714,0.5666666666666667,0.5670731707317073,0.004761904761904745
COL11A1,0.061476924634819366,20.921209691819893,21.9277706475,-0.06779287103481235,0.6846886882302049,0.2857142857142857,0.35333333333333333,0.3475609756097561,0.06761904761904763
COL6A1,0.4498009363397027,20.021191229148936,20.470913333333332,-0.032047656498965904,0.9756929798946605,0.42857142857142855,0.31333333333333335,0.3231707317073171,0.1152380952380952
COL6A3,0.6490281407139804,22.228270482594446,22.363082524223117,-0.0087233619689048,0.9756929798946605,0.7857142857142857,0.94,0.926829268292683,0.15428571428571425
F5,0.6257710117762219,22.991129062542775,23.104881366923074,-0.0071203653859143266,0.9756929798946605,0.9285714285714286,0.9066666666666666,0.9085365853658537,0.021904761904761982
ACE,1.0,20.019962500000002,19.9395,0.005810038441716525,1.0,0.07142857142857142,0.08,0.07926829268292683,0.008571428571428577
NCAM1,0.6724278350454077,19.74707548160626,19.517555782804177,0.016866614667078592,0.9756929798946605,0.9285714285714286,0.9466666666666667,0.9451219512195121,0.018095238095238053
ICAM2,0.2697307529912451,20.72827161764706,20.998636,-0.018695792931267732,0.860569545257782,0.35714285714285715,0.4533333333333333,0.4451219512195122,0.09619047619047616
C6,0.7708199803856624,25.290781389159374,25.291102697857145,-1.8328714844957853e-05,0.996282527881041,1.0,1.0,1.0,0.0
LCP1,0.5734744249175096,21.88577490501297,21.63166898083333,0.01684848605615246,0.9756929798946605,0.8571428571428571,0.84,0.8414634146341463,0.017142857142857126
COL11A2,0.08144563080029506,22.474817416410733,21.928146777000002,0.035525505399749385,0.7500018274171039,0.7142857142857143,0.7333333333333333,0.7317073170731707,0.01904761904761898
SELL,0.7479387882203435,19.307129580180817,19.2220131475,0.006374253170290965,0.9823692233632866,0.5714285714285714,0.6066666666666667,0.6036585365853658,0.03523809523809529
NID1,0.7295698924731183,20.55859827586207,20.304705,0.017927835207000975,0.9819768339768339,0.2857142857142857,0.19333333333333333,0.20121951219512196,0.09238095238095237
HSP90B1,0.03773620811995031,19.012522504379884,20.47589151764543,-0.10697631237514321,0.6846886882302049,0.7142857142857143,0.82,0.8109756097560976,0.10571428571428565
CD44,0.47067669172932336,20.243836111111108,20.1451,0.007053732795995932,0.9756929798946605,0.21428571428571427,0.12,0.12804878048780488,0.09428571428571428
IGFBP2,0.8954998489882211,21.00287878048781,21.04274,-0.002735486008347488,1.0,0.21428571428571427,0.2733333333333333,0.2682926829268293,0.05904761904761904
LBP,1.9795742122680865e-06,21.728212449127938,25.663855783076922,-0.2401684489494768,0.00047274236612496114,0.9285714285714286,0.9,0.9024390243902439,0.02857142857142858
VCAM1,0.23763259291583727,21.61938486012346,21.982495,-0.024029666182603132,0.8379675644926894,0.42857142857142855,0.54,0.5304878048780488,0.11142857142857149
ITIH2,0.12968089246554187,30.079738722634538,29.78630626877919,0.014142806201892809,0.7915609569470291,1.0,1.0,1.0,0.0
ITIH1,0.1694032256038953,29.243750389253922,28.976913412142856,0.013224413944736474,0.8160489709364906,1.0,1.0,1.0,0.0
PZP,0.4139209137535751,23.41350260994488,23.993825251495846,-0.03532240509408347,0.9756929798946605,0.7857142857142857,0.66,0.6707317073170732,0.12571428571428567
OGN,0.8448845606740344,20.495508333333337,20.628500000000003,-0.009331147162955668,1.0,0.2857142857142857,0.24,0.24390243902439024,0.04571428571428571
C4BPB,0.4666666666666666,21.426593026551725,22.40355,-0.06432488560331896,0.9756929798946605,0.07142857142857142,0.19333333333333333,0.18292682926829268,0.1219047619047619
COL5A1,0.12129576971792744,22.947990698159252,23.415996160909092,-0.029126576012901546,0.7915609569470291,0.7857142857142857,0.8866666666666667,0.8780487804878049,0.10095238095238102
TNXB,0.06325479759293826,22.818014365120074,22.158983470363577,0.04228155288968959,0.6846886882302049,0.5714285714285714,0.7266666666666667,0.7134146341463414,0.15523809523809529
GPX3,0.5572379691826003,23.202767627194657,23.106004999999996,0.006029059188714368,0.9756929798946605,0.42857142857142855,0.66,0.6402439024390244,0.23142857142857148
CPN2,0.05849164905053373,26.715681389206647,26.440538411636332,0.014935258972678757,0.6846886882302049,1.0,1.0,1.0,0.0
FBLN1,0.7798360498337225,25.71232472253998,25.74908841214286,-0.0020613037406870148,0.996282527881041,1.0,1.0,1.0,0.0
IGFBP6,0.48484848484848486,20.914868125,21.60541,-0.04686370746720139,0.9756929798946605,0.07142857142857142,0.21333333333333335,0.20121951219512196,0.14190476190476192
