PC1,PC2,sample_type,sample_id
-3.868523658,-2.230713587,Control,NU131
-1.83128429,0.138939194,Control,NU303
-1.008761357,1.5185243880128443,Control,NU005
0.087232142,3.221527164024261,Control,NU299
-1.647577531,0.5531665749911809,Control,BP313
-0.628778043,2.239910871922202,Control,BP437
0.15123993639531363,1.1787052342048252,Control,NU236
-0.177100466,2.690010772109199,Control,NU223
7.150203421754341,-1.418998213,EOS,BP114
7.620179424145881,-1.784881562,EOS,BP638
10.630642139761534,-0.493974927,EOS,BP179
11.568706034771616,-1.810947099,EOS,P092
8.926344722058992,1.1701954721745533,EOS,BP1113
5.885801940787893,-1.960096956,EOS,NU102
5.3463636417231655,0.6828743684278464,EOS,BP592
12.06391944099125,-1.682391323,EOS,BP1067
3.295894187162901,-5.877492222,EOS,NU1260
9.363310714951282,-2.619085598,EOS,BP1189
13.263189288269508,-0.422003874,EOS,P259
11.616973935150057,-3.015087603,EOS,BP001
7.871484767155465,-0.705095531,EOS,BP173
4.913490360924271,-2.765639428,EOS,NU435
